REF_AREA,Reference area,Measure,Pollutant,Unit of measure,ISO,ISO 1,TIME_PERIOD,OBS_VALUE
JPN,Japan,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,JPN,Japan,2017,13.045377
JPN,Japan,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,JPN,Japan,2018,12.950426
JPN,Japan,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,JPN,Japan,2019,12.768423
JPN,Japan,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,JPN,Japan,2020,12.61671
MEX,Mexico,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,MEX,Mexico,1990,30.947865
MEX,Mexico,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,MEX,Mexico,1995,30.564445
MEX,Mexico,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,MEX,Mexico,2000,29.596338
MEX,Mexico,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,MEX,Mexico,2001,24.041233
MEX,Mexico,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,MEX,Mexico,2002,24.69511
MEX,Mexico,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,MEX,Mexico,2003,24.902184
MEX,Mexico,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,MEX,Mexico,2004,22.137508
MEX,Mexico,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,MEX,Mexico,2005,22.455753
MEX,Mexico,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,MEX,Mexico,2006,23.297649
MEX,Mexico,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,MEX,Mexico,2007,22.807409
MEX,Mexico,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,MEX,Mexico,2008,20.971382
MEX,Mexico,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,MEX,Mexico,2009,19.648306
MEX,Mexico,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,MEX,Mexico,2010,18.927156
MEX,Mexico,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,MEX,Mexico,2011,21.604723
MEX,Mexico,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,MEX,Mexico,2012,19.371719
MEX,Mexico,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,MEX,Mexico,2013,20.099863
MEX,Mexico,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,MEX,Mexico,2014,18.918661
MEX,Mexico,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,MEX,Mexico,2015,18.73443
MEX,Mexico,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,MEX,Mexico,2016,18.139496
MEX,Mexico,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,MEX,Mexico,2017,17.581909
MEX,Mexico,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,MEX,Mexico,2018,16.010426
MEX,Mexico,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,MEX,Mexico,2019,14.122878
MEX,Mexico,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,MEX,Mexico,2020,14.444257
A9,Latin America and the Caribbean,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,A9,Latin America and the Caribbean,1990,24.543554
A9,Latin America and the Caribbean,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,A9,Latin America and the Caribbean,1995,24.430119
A9,Latin America and the Caribbean,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,A9,Latin America and the Caribbean,2000,24.324705
A9,Latin America and the Caribbean,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,A9,Latin America and the Caribbean,2001,23.030916
