Year,NOC,Total Athletes,Medal Count,Average Age (M),Average Height (M),Average Weight (M),Average Age (F),Average Height (F),Average Weight (F)
1948,IRL,73,1.0,33.48148148148148,180.4,67.75,59.0,,
1948,IRQ,11,0.0,,,,,,
1948,ISL,24,0.0,23.03125,181.3,74.7,14.666666666666666,,
1948,ITA,270,68.0,34.42241912438957,179.5277777777778,79.7536231884058,23.26086956521739,166.5,60.5
1948,JAM,13,3.0,24.5,179.5,68.71428571428571,22.77777777777778,,
1948,KOR,49,2.0,27.225806451612904,175.57142857142858,66.04166666666667,,,
1948,LIB,10,0.0,23.33333333333333,,,,,
1948,LIE,12,0.0,23.235294117647054,,,,,
1948,LUX,45,0.0,26.153153153153152,173.1764705882353,72.34375,19.5,171.5,57.0
1948,MEX,88,9.0,29.507462686567163,176.06666666666666,70.63333333333334,21.5,161.0,56.5
1948,MLT,1,0.0,23.0,,,,,
1948,MON,4,0.0,42.0,168.0,85.0,,,
1948,MYA,4,0.0,,,56.0,,,
1948,NED,153,42.0,33.141552511415526,177.26190476190473,76.33333333333334,23.80434782608696,175.0,63.0
1948,NOR,134,31.0,34.32998366013072,178.80392156862743,77.0952380952381,27.214285714285715,,
